index,country,person_name,unique_id,individual_id,company_id,gender,company_name,dual_listed,ticker,role_name,role_start_date,role_end_date,tenure_days,tenure_year,end_year,end_month,end_quarter,end_half,sector_bx,industry,appointment,revenue,market_cap,half_year,count
ASX 200,Australia,Paul van Heerwaarden,1.2046E+13,1204604,1724868,Male,BEGA CHEESE LTD,No,BGA,CEO,01/02/2017,03/02/2023,2193,6.008219178,2023,2,1,H1,Food Producers & Processors,Consumer,Internal,2075758393,713459584,2023 H1,1
ASX 200,Australia,Steven (Steve) Martin Vamos,1.01432E+13,1014315,1657914,Male,XERO LTD (Xero Live Ltd prior to 05/2008),No,XRO,CEO,01/04/2018,01/02/2023,1767,4.84109589,2023,2,1,H1,Software & Computer Services,Technology,External,761156835,8945585682,2023 H1,1
ASX 200,Australia,Michael (Mick) J Farrell,1.08989E+11,1089889,26113,Male,RESMED INC,Yes,RMD,CEO,01/03/2013,25/01/2023,3617,9.909589041,2023,1,1,H1,Electronic & Electrical Equipment,Industrial & Natural Resources,Internal,3578127000,32968675918,2023 H1,1
ASX 200,Australia,Sandeep Biswas,1.12108E+11,1121077,22046,Male,NEWCREST MINING LTD,No,NCM,CEO/MD,04/07/2014,18/12/2022,3089,8.463013699,2022,12,4,H2,Mining,Industrial & Natural Resources,Internal,4207000000,14619810443,2022 H2,1
ASX 200,Australia,George Frazis,5.52644E+11,552643,641726,Male,BANK OF QUEENSLAND LTD,No,"BOQ, BOQDA",CEO/MD,05/09/2019,28/11/2022,1180,3.232876712,2022,11,4,H2,Banks,Financial Services,External,1150525606,3245621369,2022 H2,1
ASX 200,Australia,Grant Lewis Kelley,1.13049E+13,1130485,1742458,Male,VICINITY CENTRES (Federation Centres prior to 11/2015),No,VCX,CEO/MD,01/01/2018,16/11/2022,1780,4.876712329,2022,11,4,H2,Real Estate,Financial Services,External,815434640,6502668896,2022 H2,1
ASX 200,Australia,Nicholas (Nick) David Miller,1.98459E+11,1984585,54004,Male,ADBRI LTD (Adelaide Brighton Ltd prior to 05/2020),No,ABC,CEO/MD,30/01/2019,27/10/2022,1366,3.742465753,2022,10,4,H2,Construction & Building Materials,Industrial & Natural Resources,External,1140413250,716510157,2022 H2,1
ASX 200,Australia,Zlatko Todorcevski,8904004827,890400,4827,Male,BORAL LIMITED,No,BLD,CEO/MD,01/07/2020,07/10/2022,828,2.268493151,2022,10,4,H2,Construction & Building Materials,Industrial & Natural Resources,External,4009681194,2031816025,2022 H2,1
ASX 200,Australia,Andrew Leslie Walsh,53101016997,531010,16997,Male,IRESS LTD (IRESS Market Technology Ltd prior to 05/2012),No,IRE,CEO/MD,15/10/2009,03/10/2022,4736,12.97534247,2022,10,4,H2,Software & Computer Services,Technology,Internal,433101946,1146927864,2022 H2,1
ASX 200,Australia,Graeme Peter Hunt,5.02651E+11,502650,874263,Male,AGL ENERGY LTD,No,AGL,CEO/MD,01/07/2021,30/09/2022,456,1.249315068,2022,9,3,H2,Utilities - Other,Industrial & Natural Resources,External,9117778571,3357067094,2022 H2,1
ASX 200,Australia,Robert (Rob) Anthony Wheals,1.1985E+12,1198501,925140,Male,APA GROUP (Australian Pipeline Trust prior to 12/2006),No,APA,CEO/MD,06/07/2019,30/09/2022,1182,3.238356164,2022,9,3,H2,Oil & Gas,Industrial & Natural Resources,Internal,1884367111,8455138173,2022 H2,1
ASX 200,Australia,Peter Kenneth Allen,4.42645E+12,442645,1678239,Male,SCENTRE GROUP (Westfield Retail Trust prior to 06/2014),No,SCG,CEO/MD,30/06/2014,30/09/2022,3014,8.257534247,2022,9,3,H2,Real Estate,Financial Services,Internal,1657567258,9972269558,2022 H2,1
ASX 200,Australia,Karl Matthew Simich,5.30544E+11,530543,785773,Male,SANDFIRE RESOURCES LTD (Sandfire Resources Nl prior to 01/2020),No,SFR,CEO/MD,01/07/2009,30/09/2022,4839,13.25753425,2022,9,3,H2,Mining,Industrial & Natural Resources,External,598674803,1143464323,2022 H2,1
ASX 200,Australia,Sean Hallahan,1.94696E+13,1946964,2311828,Male,COSTA GROUP HOLDINGS LTD,No,CGC,CEO/MD,31/03/2021,26/09/2022,544,1.490410959,2022,9,3,H2,Food Producers & Processors,Consumer,Internal,881893345,808041685,2022 H2,1
ASX 200,Australia,Andrew David Barkla,1.11312E+13,1113124,2371780,Male,IDP EDUCATION LTD,No,IEL,CEO/MD,26/11/2015,10/09/2022,2480,6.794520548,2022,9,3,H2,Education,Consumer,External,547115679,5258390033,2022 H2,1
ASX 200,Australia,Noel Anthony Meehan,4.41577E+12,441577,2063648,Male,BAPCOR LTD (Burson Group Ltd prior to 07/2016),No,BAP,CEO,08/02/2022,01/09/2022,205,0.561643836,2022,9,3,H2,Automobiles & Parts,Industrial & Natural Resources,Internal,1270258069,1486706927,2022 H2,1
ASX 200,Australia,Andrew (Andy) Richard Penn,34514130366,345141,30366,Male,TELSTRA GROUP LTD (Telstra Corporation Ltd prior to 10/2022),No,TLS,CEO/MD,01/05/2015,01/09/2022,2680,7.342465753,2022,9,3,H2,Telecommunication Services,Technology,Internal,15203194056,30299849742,2022 H2,1
ASX 200,Australia,Elizabeth Anne Gaines,3.37078E+11,337077,599319,Female,FORTESCUE METALS GROUP LTD,No,FMG,CEO/MD,19/02/2018,01/08/2022,1624,4.449315068,2022,8,3,H2,Steel & Other Metals,Industrial & Natural Resources,Internal,17390000000,34159863468,2022 H2,1
ASX 200,Australia,Dominic (Dom) J Stevens,3438803066,343880,3066,Male,AUSTRALIAN STOCK EXCHANGE LTD,No,ASX,CEO/MD,01/08/2016,31/07/2022,2190,6,2022,7,3,H2,Speciality & Other Finance,Financial Services,External,746746134,8834713035,2022 H2,1
ASX 200,Australia,Kenneth (Ken) Edward Brinsden,6.41088E+12,641088,1611354,Male,PILBARA MINERALS LTD (Fortuna Minerals Ltd prior to 12/2009),No,PLS,CEO/MD,18/01/2016,30/07/2022,2385,6.534246575,2022,7,3,H2,Mining,Industrial & Natural Resources,External,671502564,10546583587,2022 H2,1
ASX 200,Australia,Darren Holland,1.39278E+13,1392780,3302675,Male,HOMECO DAILY NEEDS REIT,No,HDN,CEO,04/03/2022,30/06/2022,118,0.323287671,2022,6,2,H1,Real Estate,Financial Services,External,137032191,1720973738,2022 H1,1
ASX 200,Australia,Stephen (Steve) Promnitz,53094218377,530942,18377,Male,LAKE RESOURCES NL,No,LKE,CEO/MD,14/11/2016,17/06/2022,2041,5.591780822,2022,6,2,H1,Mining,Industrial & Natural Resources,External,20766692872,810157853,2022 H1,1
ASX 200,Australia,David Robert Attenborough,1.07157E+11,1071573,29888,Male,TABCORP HOLDINGS LTD,No,TAH,CEO/MD,09/06/2011,31/05/2022,4009,10.98356164,2022,5,2,H1,Leisure & Hotels,Consumer,Internal,4264692718,1503823844,2022 H1,1
ASX 200,Australia,Jack Dorsey,1.13281E+13,1132809,2364234,Male,BLOCK INC (Square Inc prior to 12/2021),No,"SQ, SQ2",Chairman/President/CEO,19/11/2015,20/04/2022,2344,6.421917808,2022,4,2,H1,Software & Computer Services,Technology,External,17661203000,67354205583,2022 H1,1
ASX 200,Australia,Doctor Matthias (Matt) M Bekier,4.44212E+12,444212,1706165,Male,STAR ENTERTAINMENT GROUP LTD (THE) (Echo Entertainment Group Ltd prior to 11/2015),No,SGR,CEO/MD,11/04/2014,28/03/2022,2908,7.967123288,2022,3,1,H1,Leisure & Hotels,Consumer,Internal,1159102379,1866882502,2022 H1,1
ASX 200,Australia,Jeffery (Jeff) Knapp Adams,1.67245E+12,1672453,635032,Male,METCASH LTD,No,MTS,Group CEO,05/12/2017,01/02/2022,1519,4.161643836,2022,2,1,H1,Food & Drug Retailers,Consumer,External,10708471963,2557539606,2022 H1,1
ASX 200,Australia,Reinhold Schmidt,8.79338E+11,879337,744425,Male,NEW HOPE CORPORATION LIMITED,No,NHC,CEO,01/09/2020,14/01/2022,500,1.369863014,2022,1,1,H1,Mining,Industrial & Natural Resources,External,769774825,3094101494,2022 H1,1
ASX 200,Australia,Doctor Jack G Truong,1.12106E+11,1121059,17281,Male,JAMES HARDIE INDUSTRIES PLC (James Hardie Industries SE prior to 10/2012),No,JHX,CEO,31/01/2019,06/01/2022,1071,2.934246575,2022,1,1,H1,Construction & Building Materials,Industrial & Natural Resources,External,3614700000,8310356662,2022 H1,1
ASX 200,Australia,Richard J Howes,5.56043E+11,556042,604964,Male,CHALLENGER LTD (Challenger Financial Services Group Ltd prior to 11/2010),No,CGF,CEO/MD,02/01/2019,01/01/2022,1095,3,2022,1,1,H1,Speciality & Other Finance,Financial Services,Internal,1283219922,3200217335,2022 H1,1
ASX 200,Australia,Doctor Brett Peter Cairns,1.0601E+13,1060103,1066198,Male,MAGELLAN FINANCIAL GROUP LTD,No,MFG,CEO,05/10/2018,06/12/2021,1158,3.17260274,2021,12,4,H2,Speciality & Other Finance,Financial Services,Internal,381738444,1101806181,2021 H2,1
ASX 200,Australia,Darryl Gregor Abotomey,4.42848E+12,442848,2063648,Male,BAPCOR LTD (Burson Group Ltd prior to 07/2016),No,BAP,CEO/MD,24/04/2014,06/12/2021,2783,7.624657534,2021,12,4,H2,Automobiles & Parts,Industrial & Natural Resources,External,1270258069,1493911083,2021 H2,1
ASX 200,Australia,Adrian Littlewood,1.05952E+12,1059518,635579,Male,AUCKLAND INTERNATIONAL AIRPORT LTD,No,"AIA, AIAZ",CEO,12/11/2012,12/11/2021,3287,9.005479452,2021,11,4,H2,Transport,Industrial & Natural Resources,Internal,187299182,6686982695,2021 H2,1
ASX 200,Australia,Matthew (Matt) Vincent Kay,1.32798E+12,1327984,925287,Male,BEACH ENERGY LTD (Beach Petroleum Ltd prior to 12/2009),No,BPT,CEO/MD,02/05/2016,02/11/2021,2010,5.506849315,2021,11,4,H2,Oil & Gas,Industrial & Natural Resources,External,1221634744,2561223319,2021 H2,1
ASX 200,Australia,Shane Fallscheer,1.53223E+13,1532226,2200044,Male,LOVISA HOLDINGS LIMITED,No,LOV,CEO/MD,18/12/2014,14/10/2021,2492,6.82739726,2021,10,4,H2,Clothing & Personal Products,Consumer,Internal,218719733,1643867824,2021 H2,1
ASX 200,Australia,Magnus Renae Nicolin,4.99944E+11,499943,604956,Male,ANSELL LTD,No,ANN,CEO/MD,01/03/2010,01/09/2021,4202,11.51232877,2021,9,3,H2,Health,Healthcare,External,1952100000,2330577915,2021 H2,1
ASX 200,Australia,Richard Murray,5.30671E+11,530670,925936,Male,JB HI-FI LTD,No,JBH,Group CEO,30/06/2014,27/08/2021,2615,7.164383562,2021,8,3,H2,General Retailers,Consumer,Internal,6366790089,3046459981,2021 H2,1
ASX 200,Australia,Francesco Alexander de Ferrari,11232062093,1123206,2093,Male,AMP LTD,No,AMP,CEO/MD,01/12/2018,30/06/2021,942,2.580821918,2021,6,2,H1,Speciality & Other Finance,Financial Services,External,2396088763,2612062853,2021 H1,1
ASX 200,Australia,Andrew Reuven Bassat,5.31567E+11,531566,741752,Male,SEEK LTD,No,SEK,CEO/MD,10/02/2006,30/06/2021,5619,15.39452055,2021,6,2,H1,Business Services,Technology,Internal,769987124,4795298612,2021 H1,1
ASX 200,Australia,Stephen (Steve) Barry McCann,50784318698,507843,18698,Male,LENDLEASE GROUP (Lend Lease Group prior to 11/2015),No,LLC,MD/Group CEO,16/12/2008,31/05/2021,4549,12.4630137,2021,5,2,H1,Real Estate,Financial Services,Internal,6084036197,3630603968,2021 H1,1
ASX 200,Australia,Mark Andrew Steinert,1.28212E+12,1282116,743421,Male,STOCKLAND TRUST,No,SGP,CEO/MD,29/01/2013,28/05/2021,3041,8.331506849,2021,5,2,H1,Real Estate,Financial Services,External,2067093410,5628491847,2021 H1,1
ASX 200,Australia,Craig Milton Drummond,1.32283E+13,1322830,2173187,Male,MEDIBANK PRIVATE LIMITED,No,MPL,CEO,04/07/2016,17/05/2021,1778,4.871232877,2021,5,2,H1,Insurance,Financial Services,External,4916124691,5090906442,2021 H1,1
ASX 200,Australia,David Ross Richards,2.00385E+12,2003850,946991,Male,LIONTOWN RESOURCES LTD,No,LTR,CEO/MD,01/05/2010,05/05/2021,4022,11.01917808,2021,5,2,H1,Mining,Industrial & Natural Resources,External,20766692872,2887183711,2021 H1,1
ASX 200,Australia,Brett Redman,1.2747E+12,1274696,874263,Male,AGL ENERGY LTD,No,AGL,CEO/MD,01/01/2019,22/04/2021,842,2.306849315,2021,4,2,H1,Utilities - Other,Industrial & Natural Resources,Internal,9117778571,3357067094,2021 H1,1
ASX 200,Australia,Peter John Coleman,1.11643E+11,1116429,33665,Male,WOODSIDE ENERGY GROUP LTD (Woodside Petroleum Ltd prior to 05/2022),No,WDS,CEO/MD,30/05/2011,19/04/2021,3612,9.895890411,2021,4,2,H1,Oil & Gas,Industrial & Natural Resources,External,6962000000,47701136021,2021 H1,1
ASX 200,Australia,Alberto Calderon,50256323370,502563,23370,Male,ORICA LIMITED (Formerly known as ICI Australia Ltd),No,ORI,CEO/MD,19/05/2015,01/04/2021,2144,5.873972603,2021,4,2,H1,Chemicals,Industrial & Natural Resources,External,4141192166,4486158887,2021 H1,1
ASX 200,Australia,Hugh John Marks,5.32732E+12,532732,2033639,Male,NINE ENTERTAINMENT CO HOLDINGS LTD,No,NEC,CEO,10/11/2015,31/03/2021,1968,5.391780822,2021,3,1,H1,Media & Entertainment,Consumer,External,1856111032,2295291301,2021 H1,1
ASX 200,Australia,Harry George Debney,1.39611E+13,1396106,2311828,Male,COSTA GROUP HOLDINGS LTD,No,CGC,CEO/MD,24/07/2015,31/03/2021,2077,5.690410959,2021,3,1,H1,Food Producers & Processors,Consumer,External,881893345,808041685,2021 H1,1
ASX 200,Australia,James (Jim) Bruce Leighton,7.96743E+12,796743,2560097,Male,INGHAMS GROUP LTD,No,ING,CEO/MD,14/11/2018,29/03/2021,866,2.37260274,2021,3,1,H1,Food Producers & Processors,Consumer,External,1883976983,650194452,2021 H1,1
ASX 200,Australia,Louis (Lou) DiNardo,4.53223E+12,453223,1739476,Male,BRAINCHIP HOLDINGS LTD (Aziana Ltd prior to 09/2015),No,BRN,CEO/MD,29/09/2016,16/03/2021,1629,4.463013699,2021,3,1,H1,Software & Computer Services,Technology,External,1588483,682408512,2021 H1,1
ASX 200,Australia,Emilio Gonzalez,4.4288E+12,442880,1096674,Male,PENDAL GROUP LTD (BT Investment Management Ltd prior to 05/2018),No,PDL,MD/Group CEO,21/01/2010,16/03/2021,4072,11.15616438,2021,3,1,H1,Speciality & Other Finance,Financial Services,External,420659995,992084981,2021 H1,1
ASX 200,Australia,Vikas (Vik) Bansal,1.11338E+12,1113379,785686,Male,CLEANAWAY WASTE MANAGEMENT LTD (Transpacific Industries Group Ltd prior to 02/2016),No,CWY,CEO/MD,03/08/2015,05/03/2021,2041,5.591780822,2021,3,1,H1,Utilities - Other,Industrial & Natural Resources,External,1804881561,4011811757,2021 H1,1
ASX 200,Australia,Martin Andrew Ward,7.43409E+11,743408,784088,Male,EAGERS AUTOMOTIVE LTD (AP Eagers Ltd prior to 08/2020),No,APE,CEO/MD,01/01/2006,24/02/2021,5533,15.15890411,2021,2,1,H1,Automobiles & Parts,Industrial & Natural Resources,Internal,6296155276,1993032578,2021 H1,1
ASX 200,Australia,Martin Alistair Earp,1.48705E+12,1487046,489743,Male,INVOCARE LTD,No,IVC,CEO/MD,01/05/2015,04/01/2021,2075,5.684931507,2021,1,1,H1,Consumer Services,Consumer,Internal,386959250,1035199867,2021 H1,1
ASX 200,Australia,Jean-Sébastien Dominique Jacques,86207226296,862072,26296,Male,RIO TINTO PLC (RTZ Corporation PLC prior to 06/1997),Yes,RIO,Chief Executive,02/07/2016,31/12/2020,1643,4.501369863,2020,12,4,H2,Mining,Industrial & Natural Resources,Internal,63495000000,75196556343,2020 H2,1
ASX 200,Australia,Paul Louis Weightman,7.44303E+12,744303,1062184,Male,CROMWELL PROPERTY GROUP (Cromwell Group prior to 02/2011),No,CMW,CEO/MD,17/04/2008,31/12/2020,4641,12.71506849,2020,12,4,H2,Real Estate,Financial Services,Internal,260409438,1225430525,2020 H2,1
ASX 200,Australia,Peter (PG) Geoffrey Harmer,5.36295E+11,536294,604975,Male,INSURANCE AUSTRALIA GROUP LTD (IAG) (NRMA Insurance Group Ltd prior to 01/2002),No,IAG,CEO/MD,16/11/2015,01/11/2020,1812,4.964383562,2020,11,4,H2,Insurance,Financial Services,Internal,8946057305,8045825177,2020 H2,1
ASX 200,Australia,Patrick (Pat) Charles Regan,44188725475,441887,25475,Male,QBE INSURANCE GROUP LTD,No,QBE,Group CEO,01/01/2018,08/09/2020,981,2.687671233,2020,9,3,H2,Insurance,Financial Services,Internal,18457000000,12500233142,2020 H2,1
ASX 200,Australia,Shane Oscar Stephan,5.31206E+11,531205,744425,Male,NEW HOPE CORPORATION LIMITED,No,NHC,CEO/MD,01/02/2014,31/08/2020,2403,6.583561644,2020,8,3,H2,Mining,Industrial & Natural Resources,Internal,769774825,3094101494,2020 H2,1
ASX 200,Australia,Graham Joseph Maxwell,1.28524E+13,1285240,1717319,Male,COLLINS FOODS LTD,No,CKF,CEO/MD,29/09/2014,01/07/2020,2102,5.75890411,2020,7,3,H2,Leisure & Hotels,Consumer,Internal,836437666,779353459,2020 H2,1
ASX 200,Australia,Michael (Mike) Anthony Clarke,7.42371E+12,742371,1701434,Male,TREASURY WINE ESTATES LTD,No,TWE,CEO/MD,31/03/2014,01/07/2020,2284,6.257534247,2020,7,3,H2,Beverages,Consumer,External,1746039769,6079861268,2020 H2,1
ASX 200,Australia,Michael (Mike) Patrick Kane,10725104827,1072510,4827,Male,BORAL LIMITED,No,BLD,CEO/MD,01/10/2012,30/06/2020,2829,7.750684932,2020,6,2,H1,Construction & Building Materials,Industrial & Natural Resources,Internal,4009681194,2031816025,2020 H1,1
ASX 200,Australia,Mark L Palmquist,4.53557E+11,453556,636755,Male,GRAINCORP LTD,No,GNC,CEO,01/10/2014,24/03/2020,2001,5.482191781,2020,3,1,H1,Food Producers & Processors,Consumer,External,3969793105,1215140761,2020 H1,1
ASX 200,Australia,Julian Segal,4.55892E+11,455891,604959,Male,AMPOL LTD (Caltex Australia Ltd prior to 05/2020),No,ALD,CEO/MD,01/07/2009,02/03/2020,3897,10.67671233,2020,3,1,H1,Oil & Gas,Industrial & Natural Resources,External,15719490547,4366514221,2020 H1,1
ASX 200,Australia,Devendra (Deven) Billimoria,1.54318E+13,1543179,2123319,Male,SMARTGROUP CORP LTD,No,SIQ,CEO/MD,02/07/2014,28/02/2020,2067,5.663013699,2020,2,1,H1,Business Services,Technology,External,161191293,415237265,2020 H1,1
ASX 200,Australia,Andrew Wood,5.32662E+11,532661,638759,Male,WORLEY LTD (Worleyparsons Ltd prior to 10/2019),No,WOR,CEO/MD,23/10/2012,24/02/2020,2680,7.342465753,2020,2,1,H1,Electricity,Industrial & Natural Resources,Internal,6692991531,5203683760,2020 H1,1
ASX 200,Australia,Scott Sullivan,1.94233E+12,1942333,930838,Male,PALADIN ENERGY LTD (Paladin Resources Ltd prior to 11/2007),No,PDN,CEO,01/07/2018,04/02/2020,583,1.597260274,2020,2,1,H1,Mining,Industrial & Natural Resources,External,2985000,1581315250,2020 H1,1
ASX 200,Australia,Robert (Bob) Scott Vassie,1.28902E+11,1289017,28967,Male,ST BARBARA LIMITED (ST Barbara Mines prior to 01/2006),No,SBM,CEO/MD,01/07/2014,02/02/2020,2042,5.594520548,2020,2,1,H1,Mining,Industrial & Natural Resources,External,469195602,300888820,2020 H1,1
ASX 200,Australia,Jeffrey (Jeff) R Ellison,1.39455E+13,1394545,1672114,Male,KELSIAN GROUP LTD (Sealink Travel Group Ltd prior to 11/2021),No,KLS,CEO/MD,16/10/2013,16/01/2020,2283,6.254794521,2020,1,1,H1,Leisure & Hotels,Consumer,External,928295512,707515634,2020 H1,1
ASX 200,Australia,Doctor Andrew Stewart Mackenzie,3412844214,341284,4214,Male,BHP GROUP LTD (BHP Billiton Ltd prior to 12/2018),No,BHP,CEO,10/05/2013,31/12/2019,2426,6.646575342,2019,12,4,H2,Mining,Industrial & Natural Resources,Internal,65098000000,1.35859E+11,2019 H2,1
ASX 200,Australia,Carla Jayne Hrdlicka,1.08632E+13,1086320,1894903,Female,THE A2 MILK COMPANY LTD (A2 Corporation Ltd prior to 04/2014),No,ATM,CEO/MD,16/07/2018,09/12/2019,511,1.4,2019,12,4,H2,Beverages,Consumer,External,842566137,2806105129,2019 H2,1
ASX 200,Australia,Brian Charles Hartzer,34580633397,345806,33397,Male,WESTPAC BANKING CORP,No,WBC,CEO/MD,02/02/2015,02/12/2019,1764,4.832876712,2019,12,4,H2,Banks,Financial Services,Internal,19259442394,54682046200,2019 H2,1
ASX 200,Australia,Kathryn (Kate) M McKenzie,5.01575E+12,501575,1735916,Female,CHORUS LTD,No,CNU,CEO/MD,20/02/2017,19/11/2019,1002,2.745205479,2019,11,4,H2,Telecommunication Services,Technology,External,601877159,2114742772,2019 H2,1
ASX 200,Australia,Ross Murray Gersbach,4.43706E+11,443705,925140,Male,APA GROUP (Australian Pipeline Trust prior to 12/2006),No,APA,Chief Executive,01/05/2012,01/10/2019,2709,7.421917808,2019,10,4,H2,Oil & Gas,Industrial & Natural Resources,Internal,1884367111,8455138173,2019 H2,1
ASX 200,Australia,Nigel David Garrard,4.88297E+12,488297,2024455,Male,ORORA LTD,No,ORA,CEO/MD,18/12/2013,30/09/2019,2112,5.78630137,2019,9,3,H2,Containers & Packaging,Industrial & Natural Resources,External,2821194204,1640946564,2019 H2,1
ASX 200,Australia,Alan (Rob) Robert Sindel,6.25832E+11,625831,550614,Male,CSR LIMITED,No,CSR,CEO/MD,01/01/2011,02/09/2019,3166,8.673972603,2019,9,3,H2,Construction & Building Materials,Industrial & Natural Resources,Internal,1732672270,1379339435,2019 H2,1
ASX 200,Australia,Michael (Mick) Joseph McCormack,5.17945E+11,517944,925140,Male,APA GROUP (Australian Pipeline Trust prior to 12/2006),No,APA,CEO/MD,01/07/2005,05/07/2019,5117,14.01917808,2019,7,3,H2,Oil & Gas,Industrial & Natural Resources,Internal,1884367111,8455138173,2019 H2,1
ASX 200,Australia,Dennis (Dan) Charles O'Neill,6.27043E+12,627043,1076036,Male,SAYONA MINING LTD (DiamonEx Ltd prior to 07/2013),No,SYA,CEO/MD,01/07/2012,01/07/2019,2556,7.002739726,2019,7,3,H2,Mining,Industrial & Natural Resources,Internal,484062,1333449288,2019 H2,1
ASX 200,Australia,Michael Andrew Cameron,3.44207E+11,344207,493843,Male,SUNCORP GROUP LTD (Suncorp-Metway Ltd prior to 12/2010),No,SUN,CEO/MD,01/10/2015,26/05/2019,1333,3.652054795,2019,5,2,H1,Banks,Financial Services,External,11150848024,10044901427,2019 H1,1
ASX 200,Australia,James Hooke,3.45789E+12,345789,1622154,Male,ATLAS ARTERIA LTD (Macquarie Atlas Roads Ltd prior to 05/2018),No,ALX,CEO,01/02/2018,01/04/2019,424,1.161643836,2019,4,2,H1,Transport,Industrial & Natural Resources,Internal,73150838,6241856710,2019 H1,1
ASX 200,Australia,Michael William O'Keeffe,6.00337E+12,600337,1355485,Male,CHAMPION IRON LTD (Mamba Minerals Ltd prior to 03/2014),No,CIA,Chairman/CEO,03/10/2014,01/04/2019,1641,4.495890411,2019,4,2,H1,Mining,Industrial & Natural Resources,Internal,1168271669,1739372334,2019 H1,1
ASX 200,Australia,Richard Charles Henfrey,1.01727E+12,1017265,782601,Male,BLACKMORES LTD,No,BKL,CEO/MD,17/08/2017,29/03/2019,589,1.61369863,2019,3,1,H1,Food Producers & Processors,Consumer,Internal,447938027,861806820,2019 H1,1
ASX 200,Australia,Mark Peter Searles,1.27467E+12,1274667,874797,Male,AUB GROUP LIMITED (Austbrokers Holdings Ltd prior to 11/2015),No,AUB,CEO/MD,01/01/2013,11/03/2019,2260,6.191780822,2019,3,1,H1,Insurance,Financial Services,External,235014120,1485691840,2019 H1,1
ASX 200,Australia,Andrew Gregory Thorburn,44155840049,441558,40049,Male,NATIONAL AUSTRALIA BANK LTD,No,NAB,MD/Group CEO,15/08/2014,28/02/2019,1658,4.542465753,2019,2,1,H1,Banks,Financial Services,Internal,15159166242,64651181822,2019 H1,1
ASX 200,Australia,Peter Alan Birtles,6.43896E+11,643895,925391,Male,SUPER RETAIL GROUP LTD (Super Cheap Auto Group Ltd prior to 12/2010),No,SUL,Group MD/CEO,05/01/2006,20/02/2019,4794,13.13424658,2019,2,1,H1,General Retailers,Consumer,Internal,2420220553,1507752591,2019 H1,1
