index,country,person_name,unique_id,individual_id,company_id,gender,company_name,dual_listed,ticker,role_name,role_start_date,role_end_date,tenure_days,tenure_year,start_year,start_month,start_quarter,start_half,sector_bx,industry,appointment,revenue,market_cap,half_year,count
ASX 200,Australia,Sean Hehir,2.55635E+13,2556352,1739476,Male,BRAINCHIP HOLDINGS LTD (Aziana Ltd prior to 09/2015),No,BRN,CEO,29/11/2021,08:29.6,598,1.638356164,2021,11,4,H2,Software & Computer Services,Technology,External,1588483,414480341,2021 H2,1
ASX 200,Australia,Douglas (Doug) Jones,1.27951E+12,1279514,635032,Male,METCASH LTD,No,MTS,Group CEO,01/02/2022,08:29.6,534,1.463013699,2022,2,1,H1,Food & Drug Retailers,Consumer,External,10708471963,2395273142,2022 H1,1
ASX 200,Australia,Carrie Hurihanganui,2.02354E+12,2023535,635579,Female,AUCKLAND INTERNATIONAL AIRPORT LTD,No,"AIA, AIAZ",Chief Executive,01/02/2022,08:29.6,534,1.463013699,2022,2,1,H1,Transport,Industrial & Natural Resources,External,187299182,7653288776,2022 H1,1
ASX 200,Australia,Sue van der Merwe,1.63987E+13,1639867,3534215,Female,THE LOTTERY CORPORATION LTD (TLC),No,TLC,CEO/MD,01/06/2022,08:29.6,414,1.134246575,2022,6,2,H1,Leisure & Hotels,Consumer,External,2261065639,7644720460,2022 H1,1
ASX 200,Australia,David Edward George,7.76512E+12,776512,1066198,Male,MAGELLAN FINANCIAL GROUP LTD,No,MFG,CEO/MD/Chief Investment Officer,19/07/2022,08:29.6,366,1.002739726,2022,7,3,H2,Speciality & Other Finance,Financial Services,External,381738444,1072640283,2022 H2,1
ASX 200,Australia,Swami Raote,2.63073E+11,2630732,20393,Male,POLYNOVO LTD (Calzada Ltd prior to 12/2014),No,PNV,CEO,29/07/2022,08:29.6,356,0.975342466,2022,7,3,H2,Health,Healthcare,External,28889587,659543760,2022 H2,1
ASX 200,Australia,Gareth Manderson,1.29359E+13,1293589,1977978,Male,CORE LITHIUM LTD (Core Exploration Ltd prior to 11/2018),No,CXO,CEO,05/08/2022,08:29.6,349,0.956164384,2022,8,3,H2,Mining,Industrial & Natural Resources,External,20980677824,1172637304,2022 H2,1
ASX 200,Australia,Aaron M Erter,1.14395E+11,1143951,17281,Male,JAMES HARDIE INDUSTRIES PLC,No,JHX,CEO,01/09/2022,08:29.6,322,0.882191781,2022,9,3,H2,Construction & Building Materials,Industrial & Natural Resources,External,3777100000,11660341142,2022 H2,1
ASX 200,Australia,David (Dave) Dickson,88410018377,884100,18377,Male,LAKE RESOURCES NL,No,LKE,CEO/MD,15/09/2022,08:29.6,308,0.843835616,2022,9,3,H2,Mining,Industrial & Natural Resources,External,20980677824,280320329,2022 H2,1
ASX 200,Australia,Marcus Colin Price,2.14035E+11,2140346,16997,Male,IRESS LTD (IRESS Market Technology Ltd prior to 05/2012),No,IRE,CEO/MD,03/10/2022,08:29.6,290,0.794520548,2022,10,4,H2,Software & Computer Services,Technology,External,421288427,1281252525,2022 H2,1
ASX 200,Australia,Vikas (Vik) Bansal,11133794827,1113379,4827,Male,BORAL LIMITED,No,BLD,CEO/MD,10/10/2022,08:29.6,283,0.775342466,2022,10,4,H2,Construction & Building Materials,Industrial & Natural Resources,External,2695127347,2963012035,2022 H2,1
ASX 200,Australia,Robert (Robbie) Michael Cooke,5.9206E+12,592060,1706165,Male,STAR ENTERTAINMENT GROUP LTD (THE) (Echo Entertainment Group Ltd prior to 11/2015),No,SGR,CEO/MD,18/11/2022,08:29.6,244,0.668493151,2022,11,4,H2,Leisure & Hotels,Consumer,External,1053154803,1123175184,2022 H2,1
ASX 200,Australia,Sukhinder Singh Cassidy,1.01052E+13,1010521,1657914,Female,XERO LTD (Xero Live Ltd prior to 05/2008),No,XRO,CEO,01/02/2023,08:29.6,169,0.463013699,2023,2,1,H1,Software & Computer Services,Technology,External,875724607,11780873431,2023 H1,1
ASX 200,Australia,Tennealle O'Shannessy,1.97893E+13,1978927,2371780,Female,IDP EDUCATION LTD,No,IEL,CEO/MD,13/02/2023,08:29.6,157,0.430136986,2023,2,1,H1,Education,Consumer,External,547115679,3969592922,2023 H1,1
ASX 200,Australia,Malcolm Deane,2.31605E+12,2316048,743830,Male,ALS LTD (Campbell Brothers Ltd prior to 08/2012),No,ALQ,CEO/MD,08/05/2023,08:29.6,73,0.2,2023,5,2,H1,Diversified Industrials,Industrial & Natural Resources,Internal,1604977254,3507089250,2023 H1,1
ASX 200,Australia,Leah Weckert,2.11709E+13,2117088,2950743,Female,COLES GROUP LTD,No,COL,CEO/MD,01/05/2023,08:29.6,80,0.219178082,2023,5,2,H1,Food & Drug Retailers,Consumer,Internal,27599627437,16131229601,2023 H1,1
ASX 200,Australia,Douglas Thompson,1.98462E+13,1984619,2935940,Male,CORONADO GLOBAL RESOURCES INC,No,CRN,CEO/MD,25/05/2023,08:29.6,56,0.153424658,2023,5,2,H1,Mining,Industrial & Natural Resources,Internal,3571542000,1668546383,2023 H1,1
ASX 200,Australia,Patrick Newton Allaway,3.45089E+11,345088,641726,Male,BANK OF QUEENSLAND LTD,No,"BOQ, BOQDA",CEO/MD,27/03/2023,08:29.6,115,0.315068493,2023,3,1,H1,Banks,Financial Services,Internal,1150525606,2409677545,2023 H1,1
ASX 200,Australia,Andrew Maxwell Reeves,3.29754E+12,329754,2560097,Male,INGHAMS GROUP LTD,No,ING,CEO/MD,29/03/2021,08:29.6,843,2.309589041,2021,3,1,H1,Food Producers & Processors,Consumer,Internal,1883976983,665990796,2021 H1,1
ASX 200,Australia,Lawrence (Lawrie) John Conway,1.08878E+12,1088778,873507,Male,EVOLUTION MINING LTD (Catalpa Resources Ltd prior to 11/2011),No,EVN,CEO/MD,01/01/2023,08:29.6,200,0.547945205,2023,1,1,H1,Mining,Industrial & Natural Resources,Internal,1424064463,4041697562,2023 H1,1
ASX 200,Australia,Mark Royce Vassella,5.32065E+11,532064,604957,Male,BLUESCOPE STEEL LTD (BHP Steel prior to 11/2003),No,BSL,CEO/MD,01/01/2018,08:29.6,2026,5.550684932,2018,1,1,H1,Steel & Other Metals,Industrial & Natural Resources,Internal,13123849515,6064173059,2018 H1,1
ASX 200,Australia,Diggory (Dig) William Howitt,3438677209,343867,7209,Male,COCHLEAR LTD,No,COH,President/CEO/MD,03/01/2018,08:29.6,2024,5.545205479,2018,1,1,H1,Health,Healthcare,Internal,1136739612,9767538768,2018 H1,1
ASX 200,Australia,Alexander (Alex) Carl Dorsch,1.94951E+13,1949509,1232895,Male,CHALICE MINING LTD (Chalice Gold Mines Ltd prior to 12/2020),No,CHN,CEO/MD,23/03/2018,08:29.6,1945,5.328767123,2018,3,1,H1,Mining,Industrial & Natural Resources,Internal,437234,1551968984,2018 H1,1
ASX 200,Australia,Matthew (Matt) Comyn,12570617139,1257061,7139,Male,COMMONWEALTH BANK OF AUSTRALIA,No,CBA,CEO/MD,09/04/2018,08:29.6,1928,5.282191781,2018,4,2,H1,Banks,Financial Services,Internal,17339710054,1.11493E+11,2018 H1,1
ASX 200,Australia,Marnie Ann Baker,5.03103E+11,503102,662236,Female,BENDIGO & ADELAIDE BANK LTD (Bendigo Bank Ltd prior to 04/2008),No,BEN,CEO/MD,02/07/2018,08:29.6,1844,5.052054795,2018,7,3,H2,Banks,Financial Services,Internal,1206255691,3258152864,2018 H2,1
ASX 200,Australia,Shemara Raneen Wikramanayake,3.77607E+11,377606,742160,Female,MACQUARIE GROUP LTD,No,MQG,CEO/MD,01/12/2018,08:29.6,1692,4.635616438,2018,12,4,H2,Speciality & Other Finance,Financial Services,Internal,12782862698,44705610291,2018 H2,1
ASX 200,Australia,Owen James Wilson,7.92923E+12,792923,1360145,Male,REA GROUP LTD (REALESTATE.COM.AU LTD prior to 12/2008),No,REA,CEO,07/01/2019,08:29.6,1655,4.534246575,2019,1,1,H1,Media & Entertainment,Consumer,Internal,800124551,12598049720,2019 H1,1
ASX 200,Australia,Anthony Michael Heraghty,1.09137E+12,1091373,925391,Male,SUPER RETAIL GROUP LTD (Super Cheap Auto Group Ltd prior to 12/2010),No,SUL,Group MD/CEO,20/02/2019,08:29.6,1611,4.41369863,2019,2,1,H1,General Retailers,Consumer,Internal,2420220553,1764432630,2019 H1,1
ASX 200,Australia,Graeme Francis Bevans,8.02922E+12,802922,1622154,Male,ATLAS ARTERIA LTD (Macquarie Atlas Roads Ltd prior to 05/2018),No,ALX,CEO/MD,01/04/2019,08:29.6,1571,4.304109589,2019,4,2,H1,Transport,Industrial & Natural Resources,Internal,95700203,6069085052,2019 H1,1
ASX 200,Australia,David Cataford,1.85849E+13,1858490,1355485,Male,CHAMPION IRON LTD (Mamba Minerals Ltd prior to 03/2014),No,CIA,CEO,01/04/2019,08:29.6,1571,4.304109589,2019,4,2,H1,Mining,Industrial & Natural Resources,Internal,1168271669,1981930126,2019 H1,1
ASX 200,Australia,Jason Christopher Huljich,1.67413E+13,1674132,1988965,Male,CENTURIA INDUSTRIAL REIT (360 Capital Industrial Fund prior to 01/2017),No,CIP,Joint CEO,21/06/2019,08:29.6,1490,4.082191781,2019,6,2,H1,Real Estate,Financial Services,Internal,335950244,1326960140,2019 H1,1
ASX 200,Australia,Jason Christopher Huljich,1.67413E+13,1674132,1658312,Male,CENTURIA CAPITAL LTD,No,CNI,Joint Group CEO,21/06/2019,08:29.6,1490,4.082191781,2019,6,2,H1,Real Estate,Financial Services,Internal,206697233,872845373,2019 H1,1
ASX 200,Australia,Renato Mota,5.52477E+11,552476,743691,Male,INSIGNIA FINANCIAL LTD (IOOF Holdings Ltd prior to 12/2021),No,IFL,CEO/MD,25/06/2019,08:29.6,1486,4.071232877,2019,6,2,H1,Speciality & Other Finance,Financial Services,Internal,1481906254,1226773323,2019 H1,1
ASX 200,Australia,Jolie Hodson,1.27182E+11,1271821,30242,Female,SPARK NEW ZEALAND LTD (Telecom Corporation of New Zealand Ltd prior to 08/2014),No,"SPK, TEL",CEO,01/07/2019,08:29.6,1480,4.054794521,2019,7,3,H2,Telecommunication Services,Technology,Internal,2320189671,5756334765,2019 H2,1
ASX 200,Australia,Steven (Steve) Johnston,7.52987E+11,752987,493843,Male,SUNCORP GROUP LTD (Suncorp-Metway Ltd prior to 12/2010),No,SUN,MD/Group CEO,09/09/2019,08:29.6,1410,3.863013699,2019,9,3,H2,Banks,Financial Services,Internal,11150848024,11305264725,2019 H2,1
ASX 200,Australia,Kim Andrew Massey,1.09694E+13,1096935,1543098,Male,CAPRICORN METALS LTD (Malagasy Minerals Ltd prior to 02/2016),No,CMM,CEO/Company Secretary,16/09/2019,08:29.6,1403,3.843835616,2019,9,3,H2,Mining,Industrial & Natural Resources,Internal,197957379,1057181267,2019 H2,1
ASX 200,Australia,Brian Phillip Lowe,1.35907E+13,1359067,2024455,Male,ORORA LTD,No,ORA,CEO/MD,01/10/2019,08:29.6,1388,3.802739726,2019,10,4,H2,Containers & Packaging,Industrial & Natural Resources,Internal,2821194204,1839522407,2019 H2,1
ASX 200,Australia,David Di Pilla,2.2384E+13,2238401,3093741,Male,HMC CAPITAL LTD (Home Consortium Ltd prior to 11/2022),No,HMC,CEO/MD,14/10/2019,08:29.6,1375,3.767123288,2019,10,4,H2,Real Estate,Financial Services,Internal,54200472,1154779994,2019 H2,1
ASX 200,Australia,Hadyn James Stephens,6.02246E+12,602246,2500233,Male,WAYPOINT REIT LTD (Viva Energy REIT Ltd prior to 05/2020),No,WPR,CEO/MD,01/01/2020,08:29.6,1296,3.550684932,2020,1,1,H1,Real Estate,Financial Services,Internal,99198395,1145935468,2020 H1,1
ASX 200,Australia,Michael (Mike) Parrish Henry,10814354214,1081435,4214,Male,BHP GROUP LTD (BHP Billiton Ltd prior to 12/2018),No,BHP,CEO,01/01/2020,08:29.6,1296,3.550684932,2020,1,1,H1,Mining,Industrial & Natural Resources,Internal,65098000000,1.47533E+11,2020 H1,1
ASX 200,Australia,Clinton Feuerherdt,1.69989E+13,1699885,1672114,Male,KELSIAN GROUP LTD (Sealink Travel Group Ltd prior to 11/2021),No,KLS,MD/Group CEO,16/01/2020,08:29.6,1281,3.509589041,2020,1,1,H1,Leisure & Hotels,Consumer,Internal,928295512,1281334806,2020 H1,1
ASX 200,Australia,Robert (Chris) Christopher Ashton,1.27483E+12,1274826,638759,Male,WORLEY LTD (Worleyparsons Ltd prior to 10/2019),No,WOR,CEO/MD,24/02/2020,08:29.6,1242,3.402739726,2020,2,1,H1,Electricity,Industrial & Natural Resources,Internal,6692991531,5575709417,2020 H1,1
ASX 200,Australia,Peter Francis King,1.31024E+11,1310241,33397,Male,WESTPAC BANKING CORP,No,WBC,CEO/MD,02/04/2020,08:29.6,1204,3.298630137,2020,4,2,H1,Banks,Financial Services,Internal,16376841603,49174296415,2020 H1,1
ASX 200,Australia,Matthew (Matt) Willam Halliday,1.11275E+12,1112754,604959,Male,AMPOL LTD (Caltex Australia Ltd prior to 05/2020),No,ALD,CEO/MD,29/06/2020,08:29.6,1116,3.057534247,2020,6,2,H1,Oil & Gas,Industrial & Natural Resources,Internal,26242577603,4681208964,2020 H1,1
ASX 200,Australia,Drew O'Malley,1.11078E+13,1110777,1717319,Male,COLLINS FOODS LTD,No,CKF,CEO/MD,01/07/2020,08:29.6,1114,3.052054795,2020,7,3,H2,Leisure & Hotels,Consumer,Internal,836437666,757645525,2020 H2,1
ASX 200,Australia,Timothy (Tim) Ford,1.68212E+13,1682124,1701434,Male,TREASURY WINE ESTATES LTD,No,TWE,CEO/MD,01/07/2020,08:29.6,1114,3.052054795,2020,7,3,H2,Beverages,Consumer,Internal,1746039769,5319589437,2020 H2,1
ASX 200,Australia,Nicholas (Nick) B Hawkins,5.02336E+11,502335,604975,Male,INSURANCE AUSTRALIA GROUP LTD (IAG) (NRMA Insurance Group Ltd prior to 01/2002),No,IAG,CEO/MD,02/11/2020,08:29.6,990,2.712328767,2020,11,4,H2,Insurance,Financial Services,Internal,8946057305,9382093205,2020 H2,1
ASX 200,Australia,Jakob Stausholm,49295026296,492950,26296,Male,RIO TINTO PLC (RTZ Corporation PLC prior to 06/1997),Yes,RIO,Chief Executive,01/01/2021,08:29.6,930,2.547945205,2021,1,1,H1,Mining,Industrial & Natural Resources,Internal,55554000000,78011520525,2021 H1,1
ASX 200,Australia,Jakob Stausholm,49295026297,492950,26297,Male,RIO TINTO LIMITED (CRA Limited prior to 06/1997),No,RIO,Chief Executive,01/01/2021,08:29.6,930,2.547945205,2021,1,1,H1,Mining,Industrial & Natural Resources,Internal,55554000000,27678544809,2021 H1,1
ASX 200,Australia,Keith Thomas Thornton,7.43416E+11,743415,784088,Male,EAGERS AUTOMOTIVE LTD (AP Eagers Ltd prior to 08/2020),No,APE,CEO,24/02/2021,08:29.6,876,2.4,2021,2,1,H1,Automobiles & Parts,Industrial & Natural Resources,Internal,5823390335,2453079798,2021 H1,1
ASX 200,Australia,Sanjeev Gulab Gandhi,1.47508E+11,1475082,23370,Male,ORICA LIMITED (Formerly known as ICI Australia Ltd),No,ORI,CEO/MD,01/04/2021,08:29.6,840,2.301369863,2021,4,2,H1,Chemicals,Industrial & Natural Resources,Internal,4709958138,4448948117,2021 H1,1
ASX 200,Australia,David Koczkar,1.47341E+13,1473411,2173187,Male,MEDIBANK PRIVATE LIMITED,No,MPL,CEO/MD,17/05/2021,08:29.6,794,2.175342466,2021,5,2,H1,Insurance,Financial Services,Internal,4916124691,6503635799,2021 H1,1
ASX 200,Australia,Anthony (Tony) Peter Lombardo,80691718698,806917,18698,Male,LENDLEASE GROUP (Lend Lease Group prior to 11/2015),No,LLC,MD/Global CEO,01/06/2021,08:29.6,779,2.134246575,2021,6,2,H1,Real Estate,Financial Services,Internal,6084036197,3636973967,2021 H1,1
ASX 200,Australia,Ian Mark Narev,5.33081E+11,533080,741752,Male,SEEK LTD,No,SEK,CEO/MD,01/07/2021,08:29.6,749,2.052054795,2021,7,3,H2,Business Services,Technology,Internal,769987124,5338747127,2021 H2,1
ASX 200,Australia,Marguerite (Meg) E O'Neill,2.00704E+11,2007041,33665,Female,WOODSIDE ENERGY GROUP LTD (Woodside Petroleum Ltd prior to 05/2022),No,WDS,CEO/MD,17/08/2021,08:29.6,702,1.923287671,2021,8,3,H2,Oil & Gas,Industrial & Natural Resources,Internal,16817000000,43399227399,2021 H2,1
ASX 200,Australia,Neil I Salmon,1.04809E+12,1048089,604956,Male,ANSELL LTD,No,ANN,CEO/MD,01/09/2021,08:29.6,687,1.882191781,2021,9,3,H2,Health,Healthcare,Internal,1952100000,2237499918,2021 H2,1
ASX 200,Australia,Nicholas (Nick) David Hamilton,2.11714E+12,2117142,604964,Male,CHALLENGER LTD (Challenger Financial Services Group Ltd prior to 11/2010),No,CGF,CEO/MD,01/01/2022,08:29.6,565,1.547945205,2022,1,1,H1,Speciality & Other Finance,Financial Services,Internal,1283219922,2962949289,2022 H1,1
ASX 200,Australia,Darren Stralow,1.27762E+13,1277618,1880804,Male,BELLEVUE GOLD LTD (Draig Resources Ltd prior to 07/2018),No,BGL,CEO/MD,10/01/2022,08:29.6,556,1.523287671,2022,1,1,H1,Mining,Industrial & Natural Resources,Internal,237927,1057470169,2022 H1,1
ASX 200,Australia,Noel Anthony Meehan,4.41577E+12,441577,2063648,Male,BAPCOR LTD (Burson Group Ltd prior to 07/2016),No,BAP,CEO/MD,08/02/2022,08:29.6,527,1.443835616,2022,2,1,H1,Automobiles & Parts,Industrial & Natural Resources,Internal,1270258069,1383847144,2022 H1,1
ASX 200,Australia,Robert (Rob) Bishop,2.34217E+12,2342171,744425,Male,NEW HOPE CORP LTD,No,NHC,CEO,14/02/2022,08:29.6,521,1.42739726,2022,2,1,H1,Mining,Industrial & Natural Resources,Internal,1784486200,2820280120,2022 H1,1
ASX 200,Australia,Morné Engelbrecht,1.13297E+12,1132965,925287,Male,BEACH ENERGY LTD (Beach Petroleum Ltd prior to 12/2009),No,BPT,CEO,19/05/2022,08:29.6,427,1.169863014,2022,5,2,H1,Oil & Gas,Industrial & Natural Resources,Internal,1221634744,2096785628,2022 H1,1
ASX 200,Australia,Adam John Rytenskild,1.26807E+11,1268073,29888,Male,TABCORP HOLDINGS LTD,No,TAH,CEO/MD,01/06/2022,08:29.6,414,1.134246575,2022,6,2,H1,Leisure & Hotels,Consumer,Internal,1636731252,1704054758,2022 H1,1
ASX 200,Australia,Sid Sharma,1.94047E+13,1940471,3302675,Male,HOMECO DAILY NEEDS REIT,No,HDN,CEO,01/07/2022,08:29.6,384,1.052054795,2022,7,3,H2,Real Estate,Financial Services,Internal,137032191,1618001834,2022 H2,1
ASX 200,Australia,Lachlan McCann,1.01562E+12,1015623,926253,Male,ARB CORP LTD,No,ARB,CEO,05/07/2022,08:29.6,380,1.04109589,2022,7,3,H2,Automobiles & Parts,Industrial & Natural Resources,Internal,480871959,1567620726,2022 H2,1
ASX 200,Australia,Dale Henderson,1.93273E+13,1932726,1611354,Male,PILBARA MINERALS LTD (Fortuna Minerals Ltd prior to 12/2009),No,PLS,CEO/MD,30/07/2022,08:29.6,355,0.97260274,2022,7,3,H2,Mining,Industrial & Natural Resources,Internal,671502564,10079223255,2022 H2,1
ASX 200,Australia,Helen Lofthouse,20203923066,2020392,3066,Female,AUSTRALIAN STOCK EXCHANGE LTD,No,ASX,CEO/MD,01/08/2022,08:29.6,353,0.967123288,2022,8,3,H2,Speciality & Other Finance,Financial Services,Internal,746746134,7956709840,2022 H2,1
ASX 200,Australia,Vicki Brady,1.31891E+11,1318912,30366,Female,TELSTRA GROUP LTD (Telstra Corporation Ltd prior to 10/2022),No,TLS,CEO/MD,01/09/2022,08:29.6,322,0.882191781,2022,9,3,H2,Telecommunication Services,Technology,Internal,15203194056,33256032743,2022 H2,1
ASX 200,Australia,Christopher (Chris) Plater,1.6201E+12,1620097,604964,Male,CHALLENGER LTD (Challenger Financial Services Group Ltd prior to 11/2010),No,CGF,CEO,01/09/2022,08:29.6,322,0.882191781,2022,9,3,H2,Speciality & Other Finance,Financial Services,Internal,1283219922,2962949289,2022 H2,1
ASX 200,Australia,Elliott C Rusanow,5.34409E+12,534409,1678239,Male,SCENTRE GROUP (Westfield Retail Trust prior to 06/2014),No,SCG,CEO/MD,01/10/2022,08:29.6,292,0.8,2022,10,4,H2,Real Estate,Financial Services,Internal,1675737019,9094041339,2022 H2,1
ASX 200,Australia,Adam J Watson,5.31726E+11,531725,925140,Male,APA GROUP (Australian Pipeline Trust prior to 12/2006),No,APA,CEO/MD,19/12/2022,08:29.6,213,0.583561644,2022,12,4,H2,Oil & Gas,Industrial & Natural Resources,Internal,1884367111,7710317432,2022 H2,1
ASX 200,Australia,Damien Nicks,2.08471E+12,2084705,874263,Male,AGL ENERGY LTD,No,AGL,CEO/MD,19/01/2023,08:29.6,182,0.498630137,2023,1,1,H1,Utilities - Other,Industrial & Natural Resources,Internal,9117778571,4971114046,2023 H1,1
ASX 200,Australia,Michael (Mick) J Farrell,1.08989E+11,1089889,26113,Male,RESMED INC,Yes,RMD,Chair/CEO,25/01/2023,08:29.6,176,0.482191781,2023,1,1,H1,Electronic & Electrical Equipment,Industrial & Natural Resources,Internal,3578127000,31775224531,2023 H1,1
ASX 200,Australia,Peter Huddle,1.67718E+13,1677179,1742458,Male,VICINITY CENTRES (Federation Centres prior to 11/2015),No,VCX,CEO/MD,01/02/2023,08:29.6,169,0.463013699,2023,2,1,H1,Real Estate,Financial Services,Internal,815434640,5540999404,2023 H1,1
ASX 200,Australia,Peter (Pete) Findlay,1.12715E+13,1127149,1724868,Male,BEGA CHEESE LTD,No,BGA,CEO,03/02/2023,08:29.6,167,0.457534247,2023,2,1,H1,Food Producers & Processors,Consumer,Internal,2075758393,612679739,2023 H1,1
ASX 200,Australia,Peter John Tompkins,1.12384E+12,1123842,741820,Male,DOWNER EDI LTD,No,DOW,CEO/MD,27/02/2023,08:29.6,143,0.391780822,2023,2,1,H1,Diversified Industrials,Industrial & Natural Resources,Internal,7692629988,1852852740,2023 H1,1
ASX 200,Australia,Maxine Jaquet,1.64036E+13,1640357,1012167,Female,HEALIUS LTD (Primary Health Care Ltd prior to 12/2018),No,HLS,CEO/MD,01/03/2023,08:29.6,141,0.38630137,2023,3,1,H1,Health,Healthcare,Internal,1611145473,1177419107,2023 H1,1
ASX 200,Australia,Campbell John Hanan,3.49857E+11,349856,638020,Male,MIRVAC GROUP LTD,No,MGR,MD/Group CEO,01/03/2023,08:29.6,141,0.38630137,2023,3,1,H1,Real Estate,Financial Services,Internal,1959967226,5998692748,2023 H1,1
ASX 200,Australia,Doctor Paul F McKenzie,17345638371,1734563,8371,Male,CSL LTD (Commonwealth Serum Laboratories Ltd prior to 10/1991),No,"CSL, CSLDA",CEO/MD,06/03/2023,08:29.6,136,0.37260274,2023,3,1,H1,Pharmaceuticals and Biotechnology,Healthcare,Internal,10561900000,87070370884,2023 H1,1
ASX 200,Australia,Michael Reid,2.71027E+13,2710269,2378275,Male,MEGAPORT LTD,No,MP1,CEO,15/05/2023,08:29.6,66,0.180821918,2023,5,2,H1,Software & Computer Services,Technology,External,75675286,735273805,2023 H1,1
ASX 200,Australia,Brendan Harris,1.08961E+12,1089607,785773,Male,SANDFIRE RESOURCES LTD (Sandfire Resources Nl prior to 01/2020),No,SFR,CEO/MD,03/04/2023,08:29.6,108,0.295890411,2023,4,2,H1,Mining,Industrial & Natural Resources,External,922705000,1772036310,2023 H1,1
CAC 40,France,Paul Hudson,1.29027E+11,1290266,27027,Male,SANOFI SA (Sanofi-Aventis prior to 05/2011),Yes,SAN,CEO,01/09/2019,08:29.6,1418,3.884931507,2019,9,3,H2,Pharmaceuticals and Biotechnology,Healthcare,External,46039671402,1.30638E+11,2019 H2,1
CAC 40,France,Luca De Meo,55009526049,550095,26049,Male,RENAULT SA (REGIE NATIONALE DES USINES),Yes,RNO,CEO,01/07/2020,08:29.6,1114,3.052054795,2020,7,3,H2,Automobiles & Parts,Industrial & Natural Resources,External,49673846919,12112427393,2020 H2,1
CAC 40,France,Catherine Fiamma MacGregor,60381012901,603810,12901,Female,ENGIE SA (GDF Suez SA prior to 07/2015),Yes,"ENGI, GAZ, GSZ",CEO,01/01/2021,08:29.6,930,2.547945205,2021,1,1,H1,Oil & Gas,Industrial & Natural Resources,External,1.00507E+11,39826925161,2021 H1,1
CAC 40,France,Carlos Antunes Tavares Dias,64428211724,644282,11724,Male,STELLANTIS NV (Fiat Chrysler Automobiles NV prior to 01/2021),No,STLA,CEO,17/01/2021,08:29.6,914,2.504109589,2021,1,1,H1,Automobiles & Parts,Industrial & Natural Resources,External,1.92301E+11,54569824501,2021 H1,1
CAC 40,France,Antoine Jean Bernard de Saint-Affrique,8813628678,881362,8678,Male,DANONE SA (Groupe Danone SA prior to 04/2009),Yes,BN,CEO,15/09/2021,08:29.6,673,1.843835616,2021,9,3,H2,Food Producers & Processors,Consumer,External,29618423393,41006367505,2021 H2,1
CAC 40,France,Francesco Milleri,1.69974E+11,1699737,11062,Male,ESSILORLUXOTTICA (Essilor International SA prior to 10/2018),Yes,"EF, EI, EL",Chairman/CEO,17/12/2020,08:29.6,945,2.589041096,2020,12,4,H2,Health,Healthcare,Internal,26227311471,83547782126,2020 H2,1
CAC 40,France,Christel Heydemann,1.11941E+11,1119411,12430,Female,ORANGE SA (France Telecom SA prior to 07/2013),Yes,"FTE, ORA",CEO,04/04/2022,08:29.6,472,1.293150685,2022,4,2,H1,Telecommunication Services,Technology,Internal,46547213887,30356697239,2022 H1,1
CAC 40,France,Benoît Coquart,1.14392E+11,1143918,18663,Male,LEGRAND SA,Yes,LR,CEO,08/02/2018,08:29.6,1988,5.446575342,2018,2,1,H1,Electronic & Electrical Equipment,Industrial & Natural Resources,Internal,8929535448,25497971872,2018 H1,1
CAC 40,France,Jean-Marc Chery,59856229278,598562,29278,Male,STMICROELECTRONICS NV (SGS-THOMSON Microelectronics NV prior to 1998),Yes,"STM, STMPA",President/CEO,31/05/2018,08:29.6,1876,5.139726027,2018,5,2,H1,Information Technology Hardware,Technology,Internal,16128000000,42694887184,2018 H1,1
CAC 40,France,Guillaume Faury,8605549874,860554,9874,Male,AIRBUS SE (Airbus Group SE prior to 01/2017),Yes,"AIR, EAD",CEO,10/04/2019,08:29.6,1562,4.279452055,2019,4,2,H1,Aerospace & Defence,Industrial & Natural Resources,Internal,62921348247,1.11461E+11,2019 H1,1
CAC 40,France,Florent Menegaux,60710720540,607107,20540,Male,MICHELIN (CIE GENERALE DES ETABLISSEMENTS),Yes,ML,CEO/Managing General Partner,17/05/2019,08:29.6,1525,4.178082192,2019,5,2,H1,Automobiles & Parts,Industrial & Natural Resources,Internal,30613163834,20321363053,2019 H1,1
CAC 40,France,Aiman Ezzat,6543425688,654342,5688,Male,CAPGEMINI SE (Cap Gemini SA prior to 06/2017),Yes,CAP,CEO,20/05/2020,08:29.6,1156,3.167123288,2020,5,2,H1,Software & Computer Services,Technology,Internal,23551470392,31578773056,2020 H1,1
CAC 40,France,Olivier Andries,50426626861,504266,26861,Male,SAFRAN (Sagem SA prior to 05/2005),Yes,"SAF, SAG",CEO,01/01/2021,08:29.6,930,2.547945205,2021,1,1,H1,Information Technology Hardware,Technology,Internal,20904539962,62625236749,2021 H1,1
CAC 40,France,Jean-Marie Tritant,48751831696,487518,31696,Male,UNIBAIL-RODAMCO-WESTFIELD SE (Unibail-R SE/WFD Unibail-R NV prior to 06/2018),No,URW,Chairman/Group CEO,01/01/2021,08:29.6,930,2.547945205,2021,1,1,H1,Real Estate,Financial Services,Internal,2389197357,370884765,2021 H1,1
